CC,Site,PID,ICRAFPID,Lon,Lat
MG,Didy,MG-FnWXR5,Didy-14-2,48.7565,-18.3094
MG,Analavory,MG-FzHd8N,Analavory-3-1,46.63606,-18.973476
MG,Didy,MG-gXX8dU,Didy-7-1,48.7134,-18.2919
MG,Didy,MG-jaOWIZ,Didy-11-1,48.7352,-18.2968
MG,Analavory,MG-KMqZIS,Analavory-9-1,46.675688,-19.018352
MG,Didy,MG-KydEo4,Didy-15-1,48.7534,-18.2982
MG,Analavory,MG-lI8Z7s,Analavory-16-1,46.706503,-18.951871
MG,Didy,MG-m1JhYc,Didy-10-1,48.7348,-18.3162
MG,Analavory,MG-MarDv9,Analavory-7-1,46.659112,-18.977533
MG,Analavory,MG-MYJq3p,Analavory-13-1,46.706172,-19.025504
MG,Analavory,MG-Na6Ab0,Analavory-12-1,46.68258,-18.953984
MG,Analavory,MG-NYpYDY,Analavory-5-1,46.659441,-19.024152
